longitude,latitude,zipcode
-116.976,32.741,91901
-117.021,32.674,91902
-116.846,33.017,91903
-116.846,33.017,91905
-116.846,33.017,91906
-116.846,33.017,91908
-116.846,33.017,91909
-117.05,32.637,91910
-117.034,32.616,91911
-116.846,33.017,91912
-116.985,32.64,91913
-116.966,32.656,91914
-116.948,32.629,91915
-116.846,33.017,91916
-116.846,33.017,91917
-116.846,33.017,91921
-116.846,33.017,91931
-117.117,32.579,91932
-116.846,33.017,91933
-116.846,33.017,91934
-116.846,33.017,91935
-116.998,32.761,91941
-117.019,32.781,91942
-116.846,33.017,91943
-116.846,33.017,91944
-117.037,32.732,91945
-116.846,33.017,91946
-116.846,33.017,91947
-116.846,33.017,91948
-117.084,32.671,91950
-116.846,33.017,91951
-116.846,33.017,91962
-116.846,33.017,91963
-116.846,33.017,91976
-117,32.718,91977
-116.958,32.733,91978
-116.846,33.017,91979
-116.846,33.017,91980
-116.846,33.017,91987
-116.846,33.017,91990
-116.846,33.017,92003
-116.846,33.017,92004
-117.274,33.023,92007
-116.846,33.017,92008
-117.267,33.082,92009
-116.846,33.017,92013
-117.224,32.974,92014
-116.846,33.017,92018
-117.041,32.865,92019
-116.961,32.788,92020
-116.886,32.822,92021
-116.846,33.017,92022
-116.846,33.017,92023
-117.25,33.054,92024
-117.083,33.057,92025
-116.846,33.017,92026
-116.846,33.017,92027
-116.846,33.017,92028
-117.158,33.072,92029
-116.846,33.017,92030
-116.846,33.017,92033
-116.846,33.017,92036
-117.226,32.899,92037
-116.846,33.017,92038
-116.846,33.017,92039
-116.899,32.893,92040
-116.846,33.017,92046
-116.846,33.017,92049
-116.846,33.017,92051
-116.846,33.017,92052
-116.846,33.017,92054
-116.846,33.017,92055
-116.846,33.017,92056
-116.846,33.017,92057
-116.846,33.017,92058
-116.846,33.017,92059
-116.846,33.017,92060
-116.846,33.017,92061
-117.03,32.994,92064
-116.977,33.032,92065
-116.846,33.017,92066
-117.216,33.005,92067
-116.846,33.017,92068
-117.215,33.1,92069
-116.846,33.017,92070
-116.995,32.844,92071
-116.846,33.017,92072
-116.846,33.017,92074
-117.257,33.007,92075
-116.846,33.017,92078
-116.846,33.017,92079
-116.846,33.017,92082
-116.846,33.017,92083
-116.846,33.017,92084
-116.846,33.017,92085
-116.846,33.017,92086
-116.846,33.017,92088
-116.846,33.017,92090
-117.046,32.962,92091
-116.846,33.017,92092
-116.846,33.017,92093
